Food_Name,Ingredients,peanut,almond,pistachio,cashew,milk,butter,cheese,paneer,ghee,egg,fish,prawn,moong dal,chana dal,tomato,banana,capsicum,mushroom,bitter gourd,mustard,chocolate,chicken,mutton
anda ghotala,"egg, butter, onion, tomato",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
anda masala,"egg, onion, tomato, ginger",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
anda pav,"egg, pav bread, onion, spices",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aravana payasam,"rice, ghee, jaggery",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atta halwa,"whole wheat flour, ghee, sugar",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baby corn manchurian,"capsicum, baby corn, sauces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
badam barfi,"almond, sugar, milk, ghee",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam basundi,"milk, almond, sugar, saffron",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam burfi,"almond, sugar, milk, ghee",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam chikki,"almond, jaggery, ghee",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam chocolate barfi,"almond, cocoa powder, milk, ghee",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam coconut ladoo,"almond, coconut, milk, cardamom powder",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam halwa,"almond, milk, sugar, ghee",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam ice cream,"almond, milk, cream, sugar",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam kalakand,"almond, milk, paneer, sugar",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam katli,"almond, sugar, rose water, cardamom powder",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam kesari,"almond, semolina, sugar, ghee",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam kheer,"almond, milk, sugar, saffron",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam kulfi,"almond, milk, sugar, saffron",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam ladoo,"almond, jaggery, ghee, cardamom powder",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam makhana kheer,"almond, fox nuts (makhana), milk, sugar",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam milk,"almond, milk, sugar, saffron",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam modak,"almond, coconut, jaggery, cardamom powder",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam payasam,"almond, milk, sugar, ghee",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam peda,"almond, milk, cardamom powder",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam phirni,"almond, rice, milk, saffron",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam rabri,"milk, almond, sugar, saffron",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam sharbat,"almond, milk, sugar, rose syrup",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badam sheera,"almond, semolina, milk,  ghee",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badami aloo curry,"potatoes, almond, onion, tomato",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
badami chicken,"chicken, almond, yogurt, onion",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
badami gosht,"mutton, lmonds, yogurt, onion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
badami lassi,"yogurt, almond, sugar, cardamom powder",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badami sewaiyan,"vermicelli, almond, milk, sugar",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badami vegetable curry,"mixed vegetables, almond, onion, tomato",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bafla,"wheat flour, butter, lentils, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balushahi,"flour, ghee, sugar syrup",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banana appam,"banana, rice flour, jaggery, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana avial,"banana, vegetables, coconut, yogurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana barfi,"banana, milk, sugar, ghee",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana bhaji,"banana, gram flour, chili powder, oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana bonda,"banana, flour, sugar, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana chaat,"banana, chaat masala, lemon juice, onion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana chilla,"banana, gram flour, cardamom, sugar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana chips,"banana, coconut oil, salt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana curry,"banana, coconut, spices, curry leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana cutlet,"banana, potato, breadcrumbs, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana dosa,"banana, rice flour, jaggery, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana erissery,"banana, coconut, cumin, curry leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana halwa,"banana, sugar, ghee, cardamom",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana idli,"banana, rice batter, jaggery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana kesari,"banana, semolina, sugar, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana kheer,"banana, milk, sugar, cardamom",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana kootu,"banana, lentils, coconut, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana kozhukattai,"banana, rice flour, coconut, jaggery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana ladoo,"banana, coconut, jaggery, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana malpua,"banana, flour, milk, sugar syrup",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana modak,"banana, coconut, jaggery, rice flour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana olan,"banana, coconut milk, curry leaves",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana pachadi,"banana, yogurt, coconut, mustard seeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
banana pakora,"banana, gram flour, spices, oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana pancake,"banana, flour, milk, sugar",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana paratha,"banana, wheat flour, ghee, sugar",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana payasam,"banana, jaggery, coconut milk, cardamom",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana phirni,"banana, rice, milk, sugar",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana poori,"banana, wheat flour, sugar, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana pulao,"banana, rice, nuts, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana puli curry,"banana, tamarind, jaggery, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana pulissery,"banana, yogurt, coconut, cumin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana puttu,"banana, rice flour, coconut",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana rabri,"banana, milk, sugar, cardamom",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana rasam,"banana, tamarind, tomato, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
banana rice,"banana, rice, ghee, cardamom",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana sambar,"banana, lentils, tamarind, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana sandesh,"banana, chhena, sugar, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana sheera,"banana, semolina, ghee, sugar",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana shrikhand,"banana, yogurt, sugar, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana sundal,"banana, coconut, mustard seeds, curry leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
banana theeyal,"banana, roasted coconut, tamarind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana thoran,"banana, coconut, mustard seeds, curry leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
banana tikki,"banana, potato, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana upma,"banana, semolina, curry leaves, mustard seeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
banana uttapam,"banana, rice batter, jaggery, cardamom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
banana vada,"banana, rice flour, jaggery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bandhakopir torkari,"cabbage, mustard seeds, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
basundi,"milk, sugar, cardamom powder, saffron",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batata bhaji,"potato, peanut, curry leaves, green chilies",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beans peanut poriyal,"french beans, peanut, coconut, green chilies",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
begun bhaja,"eggplant, mustard oil, turmeric",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
bengal gram sundal,"chana dal, coconut, curry leaves, mustard seeds",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
besan ladoo,"gram flour, ghee, sugar, cardamom powder",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
besara,"mustard, mixed vegetables, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bhapa chingri,"prawn, mustard, coconut, green chili",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
bhapa ilish,"fish, mustard paste, coconut, green chili",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
bhapa ilish,"hilsa fish, mustard, yogurt, green chili",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
bharli vangi,"brinjal, peanut, coconut, sesame seeds",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bharwa karela,"bitter gourd, onion, fennel, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bhel puri,"puffed rice, peanut, onion, mint chutney",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bhetki paturi,"bhetki fish, mustard, coconut, banana leaf",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
bhutta,"corn, butter, lemon juice, salt",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bisi bele bath,"rice, toor dal,  peanut,  ghee",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bisi bele bath,"rice, lentils, vegetables, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boiled egg chaat,"egg, onion, tomato, lemon juice",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
bombay sandwich,"capsicum, potato, chutney, bread",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
boondi ladoo,"gram flour, ghee, sugar syrup",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boti kebab,"mutton, yogurt, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
butter appam,"rice flour, butter, coconut milk",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter besan ladoo,"gram flour, butter, sugar",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter chicken,"chicken, butter, milk, tomato",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
butter chicken,"chicken, butter, tomato, cream, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
butter chicken biryani,"rice, chicken, butter, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
butter chicken pulao,"rice, chicken, butter, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
butter coconut barfi,"coconut, butter, sugar, milk",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter corn masala,"corn, butter, cream, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter dosa,"rice batter, butter, potato, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter egg curry,"egg, butter, tomato, spices",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
butter fish curry,"fish, butter, tomato, spices",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
butter garlic naan,"flour, butter,  yogurt, yeast",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter halwa,"semolina, butter, sugar, cardamom powder",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter idli,"idli, butter, curry leaves, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter jalebi,"flour, butter, sugar syrup",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter keema,"minced meat, butter, onion, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter kesari,"semolina, butter, sugar, saffron",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter malpua,"flour, milk, butter, sugar syrup",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter masala dosa,"rice batter, butter, potato, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter modak,"rice flour, coconut, butter, jaggery",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter mushroom,"mushroom, butter, tomato, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
butter mysore pak,"gram flour, butter, sugar",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter naan,"flour, butter, yogurt, yeast",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter paratha,"whole wheat flour, butter, salt",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter pinni,"wheat flour, butter, sugar, dry fruits",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter pongal,"rice, lentils, butter, pepper",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter prawn masala,"prawn, butter, garlic, spices",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
butter roti,"whole wheat flour, butter, salt",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter sandesh,"chhena, butter, sugar",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter sevai,"vermicelli, butter, vegetables, spices",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter sheera,"semolina, butter, sugar, cardamom powder",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter sweet corn soup,"corn, butter, milk, pepper",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter upma,"semolina, butter, curry leaves, vegetables",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butter uttapam,"rice batter, butter, onion, tomato",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cabbage peanut poriyal,"cabbage, peanut, coconut, green chilies",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrot peanut salad,"carrot, peanut, lemon juice, coriander leaves",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chaas,"yogurt, milk, cumin powder, salt",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cham cham,"chhena, milk, sugar syrup",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chana dal appe,"chana dal, curry leaves, mustard seeds",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
chana dal badi curry,"chana dal, tomato, onion, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal barfi,"chana dal, sugar, ghee, milk",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal bhajiya,"chana dal, onion, chili, oil",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal biryani,"chana dal, rice, spices, onion",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal chaat,"chana dal, onion, tomato, lemon juice",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal chilla,"chana dal, ginger, green chili, cumin",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal curry,"chana dal, onion, tomato, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal cutlet,"chana dal, potato, breadcrumbs, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal dhokla,"chana dal, yogurt, ginger, green chili",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal fry,"chana dal, onion, tomato, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal ghugni,"chana dal, onion, tomato, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal halwa,"chana dal, ghee, sugar, milk",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal handvo,"chana dal, rice, yogurt, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal idli,"chana dal, rice, salt",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal kachori,"chana dal, flour, spices, oil",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal khichdi,"chana dal, rice, turmeric, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal kofta,"chana dal, onion, spices, tomato gravy",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal kosambari,"chana dal, cucumber, coconut, coriander",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal ladoo,"chana dal, ghee, sugar, cardamom",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal muthia,"chana dal, wheat flour, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal nimona,"chana dal, peas, spices, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal pachadi,"chana dal, coconut, yogurt, curry leaves",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal pakora,"chana dal, onion, spices, oil",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal paratha,"chana dal, wheat flour, spices, ghee",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal payasam,"chana dal, jaggery, milk, cardamom",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal pithla,"chana dal, garlic, chili, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal poori,"chana dal, wheat flour, spices, oil",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal pulao,"chana dal, rice, cumin, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal rasam,"chana dal, tomato, tamarind, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal rice,"chana dal, rice, cumin, turmeric",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal sambar,"chana dal, vegetables, tamarind, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal sheera,"chana dal, ghee, sugar, cardamom",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal soup,"chana dal, carrot, cumin, pepper",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal sundal,"chana dal, coconut, curry leaves, mustard seeds",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
chana dal tadka,"chana dal, onion, tomato, garlic",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
chana dal thepla,"chana dal, wheat flour, fenugreek",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal tikki,"chana dal, potato, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal upma,"chana dal, semolina, vegetables",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
chana dal usal,"chana dal, onion, coconut, spices",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
